frame_idx,track_id,x1,y1,x2,y2,conf,verdict,collector,session,captured_at
0,-1,278,194,438,333,,1,Hector,live_20260727-204031,2026-07-27T18:43:32.499954+00:00
206,1,485,80,640,342,,1,Hector,live_20260727-204031,2026-07-27T18:43:36.518001+00:00
206,2,454,205,639,357,,1,Hector,live_20260727-204031,2026-07-27T18:43:39.119705+00:00
412,2,458,203,639,358,,1,Hector,live_20260727-204031,2026-07-27T18:43:40.458099+00:00
638,2,296,165,435,343,,1,Hector,live_20260727-204031,2026-07-27T18:43:44.417713+00:00
638,16,515,3,610,355,,1,Hector,live_20260727-204031,2026-07-27T18:43:45.327946+00:00
848,16,204,156,325,308,,1,Hector,live_20260727-204031,2026-07-27T18:43:47.102663+00:00
848,2,286,178,433,348,,1,Hector,live_20260727-204031,2026-07-27T18:43:47.976979+00:00
1039,16,171,168,322,310,,1,Hector,live_20260727-204031,2026-07-27T18:43:49.490538+00:00
1039,2,288,178,431,347,,1,Hector,live_20260727-204031,2026-07-27T18:43:50.177449+00:00
1237,16,215,167,315,311,,1,Hector,live_20260727-204031,2026-07-27T18:43:51.646477+00:00
1237,2,325,169,439,346,,1,Hector,live_20260727-204031,2026-07-27T18:43:52.183961+00:00
1443,16,217,167,311,307,,1,Hector,live_20260727-204031,2026-07-27T18:43:53.368618+00:00
1443,2,288,172,466,349,,1,Hector,live_20260727-204031,2026-07-27T18:43:54.000106+00:00
1637,16,165,167,315,304,,1,Hector,live_20260727-204031,2026-07-27T18:43:55.141191+00:00
1637,2,265,177,429,345,,1,Hector,live_20260727-204031,2026-07-27T18:43:55.766353+00:00
1826,16,183,168,315,298,,1,Hector,live_20260727-204031,2026-07-27T18:43:57.080580+00:00
1826,2,265,177,425,345,,1,Hector,live_20260727-204031,2026-07-27T18:43:57.461807+00:00
2037,16,201,170,324,305,,1,Hector,live_20260727-204031,2026-07-27T18:43:58.512084+00:00
2037,2,276,178,435,348,,1,Hector,live_20260727-204031,2026-07-27T18:43:58.950086+00:00
2235,16,211,149,330,305,,1,Hector,live_20260727-204031,2026-07-27T18:44:01.011664+00:00
2235,2,277,169,439,346,,1,Hector,live_20260727-204031,2026-07-27T18:44:03.545041+00:00
2452,41,172,166,301,311,,1,Hector,live_20260727-204031,2026-07-27T18:44:05.147957+00:00
2452,2,332,169,442,346,,1,Hector,live_20260727-204031,2026-07-27T18:44:05.985086+00:00
2651,41,143,171,302,300,,1,Hector,live_20260727-204031,2026-07-27T18:44:07.826306+00:00
2651,2,270,186,438,349,,1,Hector,live_20260727-204031,2026-07-27T18:44:08.172606+00:00
2847,41,145,174,310,314,,1,Hector,live_20260727-204031,2026-07-27T18:44:09.127317+00:00
2847,2,348,174,462,352,,1,Hector,live_20260727-204031,2026-07-27T18:44:09.576244+00:00
3017,41,146,173,309,308,,1,Hector,live_20260727-204031,2026-07-27T18:44:10.427692+00:00
3017,2,304,182,450,356,,1,Hector,live_20260727-204031,2026-07-27T18:44:10.810765+00:00
3204,41,144,172,309,310,,1,Hector,live_20260727-204031,2026-07-27T18:44:12.100503+00:00
3204,2,339,175,462,351,,1,Hector,live_20260727-204031,2026-07-27T18:44:12.494886+00:00
