frame_idx,track_id,x1,y1,x2,y2,conf,verdict,collector,session,captured_at
0,-1,165,183,294,309,,1,Hector,live_20260727-215259,2026-07-27T19:58:52.400519+00:00
0,-2,379,168,505,340,,1,Hector,live_20260727-215259,2026-07-27T19:58:52.251667+00:00
232,-3,310,148,443,303,,1,Hector,live_20260727-215259,2026-07-27T19:58:59.788513+00:00
447,1,249,150,450,358,,1,Hector,live_20260727-215259,2026-07-27T19:59:04.133089+00:00
447,2,68,164,304,358,,1,Hector,live_20260727-215259,2026-07-27T19:59:04.757394+00:00
653,2,70,169,304,357,,1,Hector,live_20260727-215259,2026-07-27T19:59:05.804226+00:00
867,-4,336,160,528,354,,1,Hector,live_20260727-215259,2026-07-27T19:59:12.894439+00:00
867,2,77,176,315,359,,1,Hector,live_20260727-215259,2026-07-27T19:59:13.079973+00:00
1087,-5,332,180,519,340,,1,Hector,live_20260727-215259,2026-07-27T19:59:16.132892+00:00
1345,-6,317,161,543,343,,1,Hector,live_20260727-215259,2026-07-27T19:59:21.516151+00:00
1345,-7,97,155,298,350,,1,Hector,live_20260727-215259,2026-07-27T19:59:21.232626+00:00
1561,-8,209,192,352,343,,1,Hector,live_20260727-215259,2026-07-27T19:59:24.318410+00:00
1561,1,315,166,550,358,,1,Hector,live_20260727-215259,2026-07-27T19:59:24.840903+00:00
1809,-9,228,168,357,341,,1,Hector,live_20260727-215259,2026-07-27T19:59:30.181042+00:00
1809,-10,361,162,475,354,,1,Hector,live_20260727-215259,2026-07-27T19:59:29.769562+00:00
2038,1,314,173,550,353,,1,Hector,live_20260727-215259,2026-07-27T19:59:32.759113+00:00
2276,-11,100,165,293,331,,1,Hector,live_20260727-215259,2026-07-27T19:59:38.582794+00:00
2276,-12,336,158,484,349,,1,Hector,live_20260727-215259,2026-07-27T19:59:38.338734+00:00
2482,1,315,160,452,357,,1,Hector,live_20260727-215259,2026-07-27T19:59:39.798225+00:00
2482,24,87,168,305,357,,1,Hector,live_20260727-215259,2026-07-27T19:59:40.206015+00:00
2688,-13,98,144,305,343,,1,Hector,live_20260727-215259,2026-07-27T19:59:42.827738+00:00
2688,1,317,162,550,354,,1,Hector,live_20260727-215259,2026-07-27T19:59:43.029355+00:00
2910,-14,120,146,302,336,,1,Hector,live_20260727-215259,2026-07-27T19:59:45.923757+00:00
2910,1,319,157,565,356,,1,Hector,live_20260727-215259,2026-07-27T19:59:46.082024+00:00
