frame_idx,track_id,x1,y1,x2,y2,conf,verdict,collector,session,captured_at
225,1,148,72,340,249,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:19.181021+00:00
429,1,139,72,340,248,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:20.030802+00:00
646,1,149,72,340,248,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:20.614513+00:00
860,1,146,73,341,248,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:21.080440+00:00
1072,1,140,73,343,248,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:21.548550+00:00
1294,1,135,73,338,248,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:21.897916+00:00
1502,1,146,70,341,248,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:23.613172+00:00
1720,1,157,77,342,244,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:24.657620+00:00
1936,1,136,73,342,246,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:25.342706+00:00
2149,1,136,73,343,249,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:25.819314+00:00
2342,1,135,72,341,247,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:26.150621+00:00
2530,1,136,73,341,248,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:26.509411+00:00
2695,1,149,72,341,249,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:26.827865+00:00
2863,1,153,76,432,255,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:27.443233+00:00
3004,1,180,77,345,249,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:27.939910+00:00
3136,1,167,73,330,244,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:28.436164+00:00
3248,1,135,75,340,245,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:28.838118+00:00
3360,1,133,75,341,248,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:32:29.299366+00:00
3471,1,148,76,342,246,,1,Hector,live_20260728-232624_15f6bf,2026-07-28T21:41:30.015394+00:00
